,n_teams,record_bytes,median_r,mean_r,std_r,item_total_corr,n_at_record,a,b1,b2,b3,b4,b4_minus_b1,info_mean,info_high,difficulty_rank,tier,core100
task193,38,71.0,0.519,0.598,0.181,0.912,1,4.288,-0.43,0.511,1.7,2.282,2.712,3.031,4.533,28,T5_hardest,True
task009,40,95.0,0.624,0.612,0.238,0.933,1,3.419,-0.361,0.117,1.183,2.276,2.637,2.388,3.039,29,T5_hardest,False
task027,38,97.0,0.698,0.635,0.253,0.928,1,3.339,-0.323,-0.002,0.834,2.276,2.599,2.33,2.506,29,T5_hardest,False
task371,38,102.0,0.718,0.758,0.121,0.909,1,3.238,-2.344,-0.314,0.79,2.275,4.619,2.137,2.247,31,T5_hardest,False
task134,34,123.0,0.575,0.542,0.203,0.932,1,3.299,-0.252,0.892,1.736,2.27,2.522,2.283,3.996,32,T5_hardest,False
task341,35,108.0,0.529,0.62,0.205,0.905,1,3.726,-1.17,0.29,1.381,2.264,3.434,2.617,3.587,33,T5_hardest,False
task131,38,117.0,0.584,0.626,0.196,0.93,1,3.542,-0.998,0.358,1.178,2.263,3.261,2.482,3.317,34,T5_hardest,False
task064,36,135.0,0.633,0.612,0.222,0.946,1,3.791,-0.597,0.124,1.371,2.258,2.855,2.67,3.552,35,T5_hardest,False
task147,38,72.0,0.533,0.578,0.231,0.96,1,3.994,-0.388,0.358,1.493,2.257,2.645,2.822,4.007,36,T5_hardest,False
task120,38,78.0,0.656,0.567,0.227,0.943,1,4.68,-0.721,-0.03,1.676,2.255,2.976,3.325,4.489,37,T5_hardest,True
task040,40,63.0,0.759,0.663,0.234,0.898,1,3.74,-0.92,-0.282,1.253,2.252,3.172,2.632,3.309,38,T5_hardest,False
task015,40,87.0,0.659,0.641,0.174,0.891,1,4.112,-1.363,-0.051,1.5,2.252,3.615,2.911,3.878,38,T5_hardest,False
task268,33,190.0,0.621,0.679,0.15,0.858,1,3.614,-1.651,0.334,1.018,2.251,3.902,2.531,3.203,40,T5_hardest,False
task283,37,72.0,0.497,0.507,0.23,0.963,1,4.819,-0.134,0.702,1.678,2.25,2.384,3.421,5.644,41,T5_hardest,True
task187,37,83.0,0.669,0.611,0.255,0.94,1,3.604,-0.539,-0.095,0.839,2.248,2.787,2.536,2.704,42,T5_hardest,False
task266,38,88.0,0.632,0.669,0.157,0.925,1,3.665,-2.271,0.043,0.977,2.244,4.515,2.492,3.013,43,T5_hardest,False
task392,37,135.0,0.839,0.829,0.111,0.53,1,3.642,-1.581,-1.388,0.537,2.241,3.822,2.555,2.137,44,T5_hardest,False
task296,41,55.0,0.753,0.711,0.171,0.927,1,3.675,-1.204,-0.298,0.573,2.237,3.441,2.59,2.252,45,T5_hardest,False
task363,36,175.0,0.57,0.608,0.181,0.945,1,4.338,-0.985,0.411,1.471,2.235,3.22,3.091,4.433,46,T5_hardest,True
task222,34,93.0,0.437,0.549,0.214,0.9,1,4.42,0.176,0.567,1.48,2.233,2.057,3.149,4.936,47,T5_hardest,True
task145,36,157.0,0.566,0.593,0.182,0.946,1,5.194,-0.511,0.516,1.662,2.232,2.743,3.735,5.495,48,T5_hardest,True
task278,37,104.0,0.477,0.599,0.213,0.911,1,4.033,-0.275,0.432,1.122,2.231,2.506,2.859,3.922,49,T5_hardest,False
task309,44,36.0,0.947,0.895,0.072,0.854,1,3.999,-2.569,-2.199,-0.432,2.229,4.798,2.547,1.81,50,T5_hardest,False
task346,38,52.0,0.418,0.522,0.25,0.915,1,4.237,0.173,0.625,1.235,2.221,2.048,3.01,4.729,51,T5_hardest,True
task310,38,70.0,0.639,0.563,0.255,0.958,1,4.395,-0.346,0.236,1.336,2.219,2.565,3.125,4.27,52,T5_hardest,True
task378,36,131.0,0.555,0.633,0.202,0.933,1,4.068,-1.071,0.398,0.948,2.218,3.289,2.892,3.642,53,T5_hardest,False
task195,34,94.0,0.75,0.67,0.233,0.956,1,4.102,-0.515,0.019,0.636,2.217,2.732,2.919,2.716,54,T5_hardest,False
task130,42,61.0,0.878,0.727,0.232,0.908,1,4.173,-1.371,-0.256,0.007,2.216,3.587,2.966,2.003,55,T5_hardest,False
task034,36,116.0,0.494,0.566,0.218,0.902,1,4.259,-0.282,0.783,1.147,2.215,2.497,3.027,4.948,56,T5_hardest,True
task212,35,93.0,0.581,0.597,0.194,0.958,1,5.704,-0.161,0.339,1.645,2.213,2.374,4.055,5.705,57,T5_hardest,True
task263,37,106.0,0.635,0.67,0.177,0.94,1,4.199,-1.807,0.182,0.886,2.213,4.02,2.974,3.445,57,T5_hardest,False
task356,38,92.0,0.66,0.619,0.245,0.928,1,4.243,-0.238,0.08,0.563,2.21,2.448,3.023,2.69,59,T5_hardest,False
task125,34,110.0,0.534,0.601,0.232,0.94,1,4.391,-0.271,0.52,1.092,2.206,2.477,3.134,4.428,60,T5_hardest,True
task220,39,82.0,0.558,0.606,0.221,0.955,1,4.524,-0.452,0.179,1.123,2.203,2.655,3.233,4.197,61,T5_hardest,True
task333,36,83.0,0.6,0.622,0.229,0.973,1,5.501,-0.526,0.258,1.281,2.184,2.71,3.932,5.34,62,T5_hardest,True
task349,33,172.0,0.581,0.614,0.193,0.948,1,4.31,-0.773,0.42,1.65,2.182,2.955,3.071,4.477,63,T5_hardest,True
task025,37,127.0,0.596,0.611,0.189,0.907,1,5.492,-1.134,0.519,1.195,2.182,3.316,3.949,5.651,63,T5_hardest,True
task189,35,95.0,0.688,0.653,0.194,0.965,1,5.923,-0.738,-0.222,1.261,2.176,2.914,4.154,5.6,65,T5_hardest,True
task370,33,159.0,0.598,0.55,0.188,0.865,1,3.098,-0.564,1.221,1.934,2.157,2.721,2.137,4.024,66,T5_hardest,False
task105,34,124.0,0.501,0.55,0.206,0.865,1,3.094,-0.255,0.972,1.691,2.156,2.411,2.157,3.849,67,T5_hardest,False
task048,37,92.0,0.511,0.555,0.199,0.89,1,2.992,-0.845,0.302,1.918,2.147,2.992,2.063,2.932,68,T5_hardest,False
task005,37,166.0,0.595,0.575,0.166,0.834,1,3.089,-0.503,0.518,1.908,2.134,2.637,2.142,3.267,69,T5_hardest,False
task330,35,110.0,0.655,0.641,0.216,0.88,1,3.181,-0.748,0.093,1.741,2.124,2.872,2.227,3.044,70,T5_hardest,False
task102,35,124.0,0.602,0.575,0.214,0.891,1,3.206,-0.568,0.67,1.72,2.109,2.677,2.25,3.616,71,T5_hardest,False
task317,41,43.0,0.632,0.544,0.229,0.905,2,3.403,-0.535,0.485,1.881,2.105,2.64,2.391,3.614,72,T5_hardest,False
task071,34,100.0,0.661,0.586,0.268,0.904,1,2.554,-0.123,0.177,1.49,2.077,2.2,1.771,2.469,73,T5_hardest,False
task307,43,46.0,0.836,0.801,0.123,0.831,2,2.757,-2.353,-1.165,0.048,2.051,4.404,1.817,1.349,74,T5_hardest,False
task008,39,84.0,0.553,0.565,0.236,0.884,2,3.322,-0.516,0.32,1.539,2.051,2.567,2.357,3.362,74,T5_hardest,False
task148,34,118.0,0.54,0.574,0.18,0.909,1,3.848,-0.515,0.795,1.657,2.05,2.565,2.751,4.721,76,T5_hardest,True
task023,35,182.0,0.697,0.708,0.15,0.864,1,2.95,-1.788,-0.009,1.206,2.048,3.836,2.057,2.595,77,T5_hardest,False
task133,34,273.0,0.85,0.813,0.158,0.572,1,1.723,-1.673,-1.36,-0.909,2.047,3.72,1.102,0.662,78,T5_hardest,False
task238,33,195.0,0.722,0.652,0.206,0.901,1,2.986,-0.907,-0.177,1.386,2.047,2.954,2.106,2.692,78,T5_hardest,False
task282,39,74.0,0.612,0.612,0.15,0.903,1,4.137,-2.216,0.519,1.661,2.045,4.261,2.905,4.516,80,T5_hardest,True
task209,33,247.0,0.7,0.674,0.218,0.891,1,2.764,-1.011,-0.024,0.979,2.04,3.051,1.944,2.233,81,T4,False
task143,34,127.0,0.599,0.593,0.225,0.896,1,3.091,-0.364,0.583,1.383,2.035,2.399,2.188,3.334,82,T4,False
task185,33,107.0,0.532,0.546,0.225,0.934,1,3.491,-0.259,0.704,1.511,2.032,2.291,2.488,4.074,83,T4,True
task253,36,114.0,0.623,0.612,0.174,0.935,1,3.466,-1.283,0.291,1.5,2.03,3.313,2.467,3.475,84,T4,False
task387,34,192.0,0.707,0.705,0.161,0.927,1,2.926,-1.714,-0.379,1.169,2.029,3.743,2.046,2.464,85,T4,False
task285,32,226.0,0.669,0.659,0.194,0.884,1,2.768,-1.067,0.185,1.457,2.026,3.093,1.939,2.615,87,T4,False
task090,34,147.0,0.649,0.676,0.141,0.924,1,4.411,-1.602,0.096,1.632,2.026,3.628,3.178,4.389,87,T4,True
task153,33,118.0,0.524,0.558,0.218,0.916,1,3.791,0.068,0.739,1.445,2.026,1.958,2.717,4.598,87,T4,True
task086,32,151.0,0.599,0.57,0.198,0.92,1,4.833,-0.642,0.522,1.637,2.023,2.665,3.504,5.293,89,T4,True
task255,32,212.0,0.601,0.594,0.224,0.908,1,3.304,-0.424,0.507,1.373,2.019,2.443,2.352,3.493,90,T4,False
task205,32,134.0,0.555,0.558,0.222,0.928,1,3.603,-0.393,0.702,1.472,2.009,2.402,2.577,4.199,91,T4,True
task127,41,57.0,0.671,0.592,0.205,0.935,1,3.994,-0.652,-0.234,1.421,2.008,2.66,2.871,3.824,92,T4,False
task322,44,45.0,0.857,0.704,0.259,0.893,2,3.075,-0.84,-0.307,0.118,2.007,2.847,2.186,1.619,93,T4,False
task044,34,195.0,0.553,0.58,0.215,0.917,1,3.865,-0.428,0.412,1.483,2.006,2.434,2.777,4.058,94,T4,True
task182,33,160.0,0.656,0.609,0.221,0.958,1,3.809,-0.778,0.095,1.472,2.004,2.782,2.733,3.727,95,T4,False
task068,39,99.0,0.656,0.623,0.193,0.942,1,3.942,-0.731,-0.025,1.476,2.003,2.734,2.834,3.829,96,T4,False
task079,36,105.0,0.602,0.617,0.253,0.885,1,2.994,-0.25,0.197,0.606,2.002,2.252,2.127,2.202,97,T4,False
task011,41,114.0,0.722,0.707,0.15,0.861,1,2.943,-1.948,-0.365,0.992,2.0,3.948,2.045,2.343,98,T4,False
task207,39,74.0,0.86,0.7,0.247,0.896,2,3.003,-0.804,-0.466,-0.13,2.0,2.804,2.134,1.477,98,T4,False
task368,38,129.0,0.565,0.65,0.202,0.919,1,3.17,-1.555,0.18,0.903,1.996,3.551,2.247,2.633,100,T4,False
task364,33,133.0,0.55,0.539,0.227,0.894,1,3.815,-0.252,0.964,1.348,1.988,2.24,2.74,4.938,101,T4,True
task097,39,93.0,0.65,0.639,0.225,0.942,1,3.211,-0.676,-0.056,0.881,1.987,2.663,2.291,2.556,102,T4,False
task248,40,67.0,0.736,0.708,0.195,0.916,1,3.312,-2.33,-0.438,0.505,1.987,4.317,2.255,2.039,102,T4,False
task018,35,275.0,0.702,0.668,0.183,0.868,1,3.504,-1.22,0.022,1.225,1.981,3.201,2.506,3.234,104,T4,False
task264,33,178.0,0.704,0.706,0.167,0.934,1,3.474,-1.678,-0.266,1.04,1.98,3.658,2.475,2.952,105,T4,False
task201,35,187.0,0.621,0.672,0.155,0.937,1,4.357,-1.786,0.087,1.439,1.979,3.765,3.139,4.307,106,T4,True
task197,42,51.0,0.944,0.697,0.323,0.885,2,2.148,-0.554,-0.352,-0.028,1.976,2.53,1.493,1.147,107,T4,False
task287,39,53.0,0.697,0.624,0.23,0.932,1,3.649,-0.744,-0.352,1.235,1.975,2.719,2.617,3.327,108,T4,False
task314,36,82.0,0.592,0.599,0.239,0.931,1,3.809,-0.504,0.349,1.242,1.972,2.476,2.739,3.801,109,T4,False
task274,40,65.0,0.783,0.683,0.236,0.952,1,3.461,-0.636,-0.21,0.442,1.972,2.608,2.481,2.098,109,T4,False
task397,37,110.0,0.728,0.692,0.166,0.949,1,3.925,-2.222,-0.234,1.221,1.969,4.191,2.752,3.627,111,T4,False
task265,33,104.0,0.52,0.597,0.194,0.913,1,4.178,-0.558,0.619,1.324,1.966,2.524,3.015,4.688,112,T4,True
task323,37,100.0,0.625,0.586,0.216,0.931,1,4.117,-0.35,0.052,1.313,1.964,2.314,2.97,3.988,113,T4,True
task319,33,194.0,0.561,0.563,0.212,0.889,1,3.632,-0.623,0.51,1.631,1.962,2.585,2.6,3.957,114,T4,False
task136,38,94.0,0.657,0.645,0.206,0.945,1,3.766,-0.619,0.007,0.954,1.96,2.579,2.711,3.206,115,T4,False
task174,36,89.0,0.739,0.63,0.265,0.931,1,3.826,-0.407,-0.052,1.051,1.959,2.366,2.756,3.4,116,T4,False
task382,33,124.0,0.537,0.642,0.186,0.896,1,3.644,-1.443,0.431,1.13,1.959,3.402,2.614,3.606,116,T4,False
task252,41,53.0,0.828,0.697,0.23,0.879,1,3.51,-0.671,-0.493,0.259,1.954,2.625,2.519,1.918,118,T4,False
task004,41,73.0,0.525,0.56,0.213,0.885,1,5.685,-0.129,0.46,1.274,1.953,2.082,4.145,5.927,119,T4,True
task355,34,95.0,0.682,0.629,0.257,0.959,1,3.77,-0.162,0.143,0.882,1.952,2.114,2.713,3.189,120,T4,False
task348,37,88.0,0.739,0.66,0.204,0.962,1,4.039,-0.699,-0.135,1.035,1.952,2.651,2.914,3.569,120,T4,False
task081,41,81.0,0.604,0.618,0.224,0.946,1,4.085,-0.788,0.185,1.049,1.95,2.738,2.947,3.753,122,T4,False
task012,39,122.0,0.626,0.7,0.154,0.861,1,3.918,-2.239,0.294,0.723,1.946,4.185,2.745,3.049,123,T4,False
task122,34,70.0,0.568,0.574,0.244,0.959,1,5.109,-0.274,0.512,1.188,1.944,2.218,3.705,5.39,124,T4,True
task013,40,124.0,0.626,0.632,0.2,0.906,1,4.705,-1.146,0.123,1.11,1.943,3.089,3.411,4.455,125,T4,True
task094,38,96.0,0.547,0.607,0.222,0.933,1,4.229,-0.392,0.448,1.066,1.942,2.334,3.061,4.204,126,T4,True
task254,38,81.0,0.653,0.613,0.226,0.975,1,4.765,-0.462,0.025,1.103,1.941,2.403,3.471,4.483,127,T4,True
task112,37,91.0,0.587,0.626,0.175,0.925,2,4.969,-1.138,0.494,1.118,1.94,3.078,3.617,5.137,128,T4,True
task250,33,95.0,0.569,0.6,0.229,0.928,1,4.653,-0.5,0.517,1.11,1.938,2.438,3.385,4.835,129,T4,True
task095,41,70.0,0.642,0.674,0.178,0.912,2,4.631,-0.999,0.021,1.029,1.936,2.935,3.373,4.227,130,T4,True
task334,41,65.0,0.802,0.736,0.181,0.925,1,4.524,-2.16,-0.63,0.486,1.927,4.087,3.235,2.693,131,T4,False
task108,42,46.0,0.708,0.612,0.228,0.874,3,3.173,-0.779,-0.386,1.521,1.916,2.695,2.261,2.946,132,T4,False
task065,41,82.0,0.695,0.624,0.207,0.904,1,3.094,-0.735,-0.224,1.659,1.886,2.621,2.198,2.914,133,T4,False
task096,34,282.0,0.873,0.748,0.236,0.784,2,2.118,-1.068,-0.475,-0.124,1.879,2.947,1.474,1.061,134,T4,False
task308,35,192.0,0.658,0.679,0.166,0.881,1,2.501,-1.63,0.001,1.388,1.867,3.497,1.736,2.235,135,T4,False
task233,36,261.0,0.705,0.714,0.192,0.761,1,2.626,-1.647,-1.272,1.171,1.855,3.502,1.831,2.126,136,T4,False
task337,43,43.0,0.896,0.883,0.048,0.626,3,2.557,-2.83,-2.467,-0.243,1.842,4.672,1.413,1.189,137,T4,False
task188,40,53.0,0.624,0.645,0.164,0.892,2,2.983,-2.404,0.091,1.48,1.839,4.243,1.99,2.846,138,T4,False
task336,37,86.0,0.439,0.521,0.248,0.922,1,3.774,0.058,0.485,1.61,1.838,1.78,2.719,4.204,139,T4,True
task162,40,96.0,0.696,0.752,0.118,0.865,1,2.568,-2.477,-1.809,0.866,1.83,4.307,1.638,1.84,140,T4,False
task062,35,121.0,0.526,0.595,0.213,0.928,1,3.343,-0.313,0.214,1.461,1.801,2.114,2.401,3.352,141,T4,False
task284,34,195.0,0.725,0.709,0.184,0.806,1,2.913,-1.487,-0.687,1.135,1.797,3.284,2.072,2.438,142,T4,False
task036,40,75.0,0.468,0.532,0.24,0.898,3,3.737,-0.004,0.736,1.323,1.793,1.797,2.698,4.473,143,T4,True
task275,37,126.0,0.696,0.753,0.126,0.899,1,3.225,-2.347,-0.369,0.93,1.782,4.129,2.202,2.582,144,T4,False
task394,35,85.0,0.669,0.641,0.285,0.893,3,3.03,-0.251,0.143,0.688,1.774,2.025,2.177,2.325,145,T4,False
task257,38,68.0,0.778,0.699,0.2,0.911,1,3.423,-0.867,-0.54,1.327,1.765,2.632,2.466,3.147,146,T4,False
task223,43,46.0,0.821,0.802,0.118,0.838,3,3.308,-2.264,-1.316,0.373,1.757,4.021,2.287,1.898,147,T4,False
task029,37,103.0,0.582,0.63,0.207,0.915,1,3.616,-0.921,0.398,1.006,1.746,2.667,2.613,3.414,148,T4,False
task191,33,221.0,0.725,0.683,0.198,0.919,1,3.18,-0.855,-0.127,0.993,1.745,2.6,2.288,2.665,149,T4,False
task070,39,78.0,0.479,0.577,0.207,0.888,1,3.641,-0.709,0.419,1.208,1.739,2.448,2.63,3.685,150,T4,False
task198,34,107.0,0.48,0.566,0.245,0.915,1,3.62,-0.148,0.551,1.047,1.735,1.883,2.617,3.727,151,T4,False
task251,37,84.0,0.694,0.602,0.288,0.97,1,3.4,-0.137,0.079,0.718,1.73,1.867,2.455,2.614,152,T4,False
task066,35,237.0,0.712,0.689,0.182,0.844,1,3.556,-1.004,-0.433,1.078,1.729,2.733,2.569,3.093,153,T4,False
task101,33,258.0,0.683,0.656,0.207,0.93,1,3.665,-0.937,-0.129,1.078,1.723,2.66,2.65,3.248,154,T4,False
task107,39,132.0,0.644,0.645,0.231,0.909,1,2.575,-0.531,0.067,0.715,1.72,2.251,1.839,1.944,155,T4,False
task245,34,98.0,0.524,0.606,0.232,0.928,2,3.43,-0.373,0.513,1.119,1.718,2.091,2.477,3.51,156,T4,False
task069,37,143.0,0.722,0.748,0.123,0.906,1,3.4,-2.304,-0.929,0.888,1.715,4.019,2.351,2.663,157,T4,False
task085,42,49.0,0.551,0.557,0.248,0.847,4,2.7,-0.571,0.545,1.428,1.715,2.286,1.922,2.845,157,T4,False
task002,44,86.0,0.732,0.654,0.243,0.837,1,3.681,-0.332,-0.131,0.546,1.714,2.046,2.664,2.414,159,T4,False
task202,35,98.0,0.676,0.617,0.288,0.968,1,4.039,-0.312,0.091,0.727,1.709,2.021,2.925,3.047,160,T3,False
task226,37,117.0,0.661,0.666,0.183,0.961,1,3.948,-1.635,-0.029,1.02,1.709,3.344,2.854,3.485,160,T3,False
task353,41,83.0,0.648,0.657,0.126,0.716,2,3.108,-1.946,0.002,1.52,1.707,3.653,2.19,2.963,162,T3,False
task035,39,82.0,0.683,0.638,0.264,0.922,2,3.872,-0.347,0.049,0.565,1.701,2.048,2.806,2.599,163,T3,False
task050,39,83.0,0.798,0.664,0.24,0.948,1,4.072,-0.64,-0.147,0.859,1.699,2.339,2.95,3.286,164,T3,False
task176,40,61.0,0.705,0.643,0.188,0.927,1,4.265,-0.441,-0.081,1.184,1.699,2.14,3.093,4.008,164,T3,True
task292,42,51.0,0.81,0.821,0.082,0.924,1,4.056,-2.578,-2.208,0.568,1.694,4.272,2.643,2.585,166,T3,False
task022,40,91.0,0.843,0.719,0.219,0.921,1,3.967,-0.659,-0.471,0.221,1.693,2.352,2.874,2.127,167,T3,False
task059,38,151.0,0.761,0.743,0.157,0.942,1,3.623,-1.869,-0.483,0.6,1.692,3.561,2.599,2.389,168,T3,False
task141,40,92.0,0.773,0.684,0.218,0.942,2,4.003,-0.706,-0.405,0.776,1.686,2.392,2.899,3.013,169,T3,False
task055,41,77.0,0.631,0.608,0.247,0.963,1,4.433,-0.529,0.11,0.955,1.685,2.214,3.223,3.911,170,T3,True
task216,34,111.0,0.623,0.625,0.241,0.968,1,4.228,-0.396,0.23,1.103,1.677,2.073,3.065,4.02,171,T3,True
task365,36,111.0,0.654,0.667,0.215,0.952,2,4.536,-0.859,0.072,0.787,1.675,2.534,3.289,3.54,172,T3,False
task381,38,79.0,0.782,0.702,0.229,0.918,3,4.33,-0.772,-0.612,0.256,1.674,2.446,3.135,2.315,173,T3,False
task260,33,130.0,0.622,0.637,0.221,0.953,1,4.836,-0.776,0.314,1.07,1.67,2.446,3.501,4.661,174,T3,True
task046,34,166.0,0.641,0.667,0.195,0.93,1,5.049,-1.248,0.123,0.98,1.668,2.916,3.663,4.592,175,T3,True
task163,36,130.0,0.812,0.759,0.172,0.965,2,4.232,-1.797,-0.505,0.41,1.666,3.463,3.06,2.432,176,T3,False
task033,41,71.0,0.899,0.763,0.235,0.789,1,4.479,-1.126,-0.873,-0.426,1.666,2.792,3.252,2.201,176,T3,False
task173,35,201.0,0.905,0.884,0.105,0.542,1,2.236,-2.5,-1.701,-1.268,1.664,4.164,1.401,0.924,178,T3,False
task271,38,86.0,0.758,0.7,0.219,0.947,2,4.569,-0.755,-0.166,0.626,1.664,2.419,3.308,3.048,178,T3,False
task170,33,163.0,0.595,0.608,0.218,0.944,1,3.598,-0.273,0.545,1.238,1.658,1.931,2.602,3.856,180,T3,False
task169,35,108.0,0.543,0.585,0.229,0.954,1,6.082,-0.417,0.522,1.143,1.656,2.073,4.459,6.292,181,T3,True
task277,33,155.0,0.638,0.631,0.226,0.95,1,5.991,-0.706,0.415,1.138,1.654,2.36,4.321,5.993,182,T3,True
task019,40,103.0,0.608,0.643,0.19,0.952,1,5.528,-0.707,0.2,0.944,1.653,2.36,3.99,5.03,183,T3,True
task149,39,74.0,0.892,0.766,0.226,0.859,1,4.798,-0.912,-0.805,-0.308,1.653,2.565,3.475,2.371,183,T3,False
task290,41,65.0,0.929,0.732,0.249,0.887,1,4.824,-1.164,-0.364,-0.07,1.652,2.816,3.502,2.416,185,T3,False
task092,38,86.0,0.564,0.63,0.243,0.961,2,5.408,-0.839,0.135,0.721,1.648,2.487,3.896,3.937,186,T3,True
task350,39,89.0,0.73,0.65,0.265,0.964,1,5.031,-0.569,-0.098,0.388,1.644,2.213,3.666,2.801,187,T3,False
task398,39,72.0,0.878,0.762,0.216,0.823,2,2.699,-1.048,-0.671,-0.269,1.63,2.678,1.935,1.294,188,T3,False
task358,36,90.0,0.717,0.648,0.228,0.94,1,4.142,-0.509,-0.212,1.434,1.614,2.123,3.005,4.018,189,T3,True
task196,37,105.0,0.686,0.635,0.26,0.9,1,2.927,-0.574,-0.258,0.778,1.61,2.184,2.109,2.169,190,T3,False
task010,44,66.0,0.742,0.77,0.117,0.791,1,2.973,-2.39,-1.152,0.748,1.609,3.999,2.007,2.084,191,T3,False
task340,35,111.0,0.613,0.662,0.177,0.924,1,4.289,-1.354,0.296,1.427,1.607,2.961,3.11,4.371,192,T3,True
task072,46,54.0,0.85,0.829,0.093,0.796,4,3.051,-2.727,-2.361,-0.039,1.589,4.316,1.813,1.502,193,T3,False
task379,35,135.0,0.515,0.598,0.221,0.898,1,3.609,-0.306,0.5,1.241,1.582,1.888,2.614,3.792,194,T3,False
task138,34,103.0,0.581,0.585,0.283,0.922,3,3.408,-0.114,0.34,0.873,1.565,1.679,2.468,3.018,195,T3,False
task058,37,85.0,0.612,0.602,0.231,0.928,1,3.64,-0.411,0.131,1.191,1.564,1.975,2.638,3.433,196,T3,False
task054,34,266.0,0.694,0.689,0.188,0.881,1,3.429,-1.298,-0.07,0.911,1.558,2.856,2.48,2.788,197,T3,False
task342,38,106.0,0.669,0.656,0.204,0.942,1,3.895,-1.177,-0.118,1.204,1.557,2.734,2.824,3.605,198,T3,False
task132,41,86.0,0.453,0.549,0.226,0.894,3,4.417,-0.041,0.566,1.303,1.555,1.596,3.213,4.888,199,T3,True
task279,33,106.0,0.667,0.604,0.297,0.949,2,3.572,-0.005,0.141,1.046,1.548,1.553,2.59,3.291,200,T3,False
